CODE,TITLE,Type,CREDITS,SLOT,FACULTY,VENUE
BSTS301P,Advanced Competitive Coding - I,SS,1.5,D1+TD1,FACE (APT),AB1-809
BSTS301P,Advanced Competitive Coding - I,SS,1.5,D1+TD1,ETHNUS (APT),AB4-516
BSTS301P,Advanced Competitive Coding - I,SS,1.5,D2+TD2,FACE (APT),AB1-611
BSTS301P,Advanced Competitive Coding - I,SS,1.5,D2+TD2,ETHNUS (APT),AB1-710
BSTS301P,Advanced Competitive Coding - I,SS,1.5,D2+TD2,FACE (APT),AB1-711
BSTS301P,Advanced Competitive Coding - I,SS,1.5,D2+TD2,ETHNUS (APT),AB1-801
BSTS301P,Advanced Competitive Coding - I,SS,1.5,D2+TD2,FACE (APT),AB1-802
BSTS301P,Advanced Competitive Coding - I,SS,1.5,D2+TD2,ETHNUS (APT),AB1-808
BSTS301P,Advanced Competitive Coding - I,SS,1.5,D2+TD2,ETHNUS (APT),AB1-809
BSTS301P,Advanced Competitive Coding - I,SS,1.5,D1+TD1,ETHNUS (APT),AB1-708
BSTS301P,Advanced Competitive Coding - I,SS,1.5,G1+TG1,FACE (APT),AB3-405
BSTS301P,Advanced Competitive Coding - I,SS,1.5,G1+TG1,ETHNUS (APT),AB3-406
BSTS301P,Advanced Competitive Coding - I,SS,1.5,G1+TG1,FACE (APT),AB3-407
BSTS301P,Advanced Competitive Coding - I,SS,1.5,G1+TG1,ETHNUS (APT),AB3-409
BSTS301P,Advanced Competitive Coding - I,SS,1.5,G1+TG1,FACE (APT),AB3-413
BSTS301P,Advanced Competitive Coding - I,SS,1.5,G1+TG1,ETHNUS (APT),AB3-503
BSTS301P,Advanced Competitive Coding - I,SS,1.5,G1+TG1,FACE (APT),AB3-504
BSTS301P,Advanced Competitive Coding - I,SS,1.5,G1+TG1,ETHNUS (APT),AB3-505
BSTS301P,Advanced Competitive Coding - I,SS,1.5,G1+TG1,FACE (APT),AB3-506
BSTS301P,Advanced Competitive Coding - I,SS,1.5,G1+TG1,ETHNUS (APT),AB3-507
BSTS301P,Advanced Competitive Coding - I,SS,1.5,G2+TG2,FACE (APT),AB3-403
BSTS301P,Advanced Competitive Coding - I,SS,1.5,G2+TG2,ETHNUS (APT),AB3-404
BSTS301P,Advanced Competitive Coding - I,SS,1.5,G2+TG2,FACE (APT),AB3-405
BSTS301P,Advanced Competitive Coding - I,SS,1.5,G2+TG2,ETHNUS (APT),AB3-406
BSTS301P,Advanced Competitive Coding - I,SS,1.5,G2+TG2,FACE (APT),AB3-407
BSTS301P,Advanced Competitive Coding - I,SS,1.5,G2+TG2,ETHNUS (APT),AB3-408
BSTS301P,Advanced Competitive Coding - I,SS,1.5,G2+TG2,FACE (APT),AB3-409
BSTS301P,Advanced Competitive Coding - I,SS,1.5,G2+TG2,ETHNUS (APT),AB3-413
BSTS301P,Advanced Competitive Coding - I,SS,1.5,G2+TG2,FACE (APT),AB3-503
BSTS301P,Advanced Competitive Coding - I,SS,1.5,G2+TG2,ETHNUS (APT),AB3-504
BSTS301P,Advanced Competitive Coding - I,SS,1.5,G2+TG2,FACE (APT),AB3-505
BSTS301P,Advanced Competitive Coding - I,SS,1.5,G2+TG2,ETHNUS (APT),AB3-506
BSTS301P,Advanced Competitive Coding - I,SS,1.5,D1+TD1,FACE (APT),AB2-403
BSTS301P,Advanced Competitive Coding - I,SS,1.5,D1+TD1,ETHNUS (APT),AB2-404
BSTS301P,Advanced Competitive Coding - I,SS,1.5,D1+TD1,FACE (APT),AB2-407
BSTS301P,Advanced Competitive Coding - I,SS,1.5,D2+TD2,ETHNUS (APT),AB2-403
BSTS301P,Advanced Competitive Coding - I,SS,1.5,D2+TD2,FACE (APT),AB2-404
BSTS301P,Advanced Competitive Coding - I,SS,1.5,C1+TC1,ETHNUS (APT),AB3-508
BSTS301P,Advanced Competitive Coding - I,SS,1.5,C1+TC1,ETHNUS (APT),AB3-509
BSTS301P,Advanced Competitive Coding - I,SS,1.5,C1+TC1,FACE (APT),AB3-513
BSTS301P,Advanced Competitive Coding - I,SS,1.5,C1+TC1,ETHNUS (APT),AB3-603
BSTS301P,Advanced Competitive Coding - I,SS,1.5,C1+TC1,ETHNUS (APT),AB3-604
BSTS301P,Advanced Competitive Coding - I,SS,1.5,C1+TC1,FACE (APT),AB3-605
BSTS301P,Advanced Competitive Coding - I,SS,1.5,C1+TC1,ETHNUS (APT),AB3-606
BSTS301P,Advanced Competitive Coding - I,SS,1.5,C1+TC1,ETHNUS (APT),AB3-607
BSTS301P,Advanced Competitive Coding - I,SS,1.5,C1+TC1,FACE (APT),AB3-608
BSTS301P,Advanced Competitive Coding - I,SS,1.5,C1+TC1,FACE (APT),AB3-609
BSTS301P,Advanced Competitive Coding - I,SS,1.5,C1+TC1,ETHNUS (APT),AB3-613
BSTS301P,Advanced Competitive Coding - I,SS,1.5,C1+TC1,FACE (APT),AB3-703
BSTS301P,Advanced Competitive Coding - I,SS,1.5,C1+TC1,FACE (APT),AB3-704
BSTS301P,Advanced Competitive Coding - I,SS,1.5,C2+TC2,ETHNUS (APT),AB3-508
BSTS301P,Advanced Competitive Coding - I,SS,1.5,C2+TC2,FACE (APT),AB3-509
BSTS301P,Advanced Competitive Coding - I,SS,1.5,C2+TC2,FACE (APT),AB3-513
BSTS301P,Advanced Competitive Coding - I,SS,1.5,C2+TC2,ETHNUS (APT),AB3-603
BSTS301P,Advanced Competitive Coding - I,SS,1.5,C2+TC2,FACE (APT),AB3-604
BSTS301P,Advanced Competitive Coding - I,SS,1.5,C2+TC2,ETHNUS (APT),AB3-605
BSTS301P,Advanced Competitive Coding - I,SS,1.5,C2+TC2,ETHNUS (APT),AB3-606
BSTS301P,Advanced Competitive Coding - I,SS,1.5,C2+TC2,FACE (APT),AB3-607
BSTS301P,Advanced Competitive Coding - I,SS,1.5,C2+TC2,FACE (APT),AB3-608
BSTS301P,Advanced Competitive Coding - I,SS,1.5,C2+TC2,ETHNUS (APT),AB3-609
IASTS101,Qualitative and Quantitative Skills Practice I,SS,1,F1+TF1,ETHNUS (APT),AB4-504
IASTS101,Qualitative and Quantitative Skills Practice I,SS,1,F1+TF1,FACE (APT),AB4-505
IASTS101,Qualitative and Quantitative Skills Practice I,SS,1,F1+TF1,SIXPHRASE(APT),AB4-502
IASTS101,Qualitative and Quantitative Skills Practice I,SS,1,F1+TF1,ETHNUS (APT),AB4-503
IASTS101,Qualitative and Quantitative Skills Practice I,SS,1,F2+TF2,FACE (APT),AB4-504
IASTS101,Qualitative and Quantitative Skills Practice I,SS,1,F2+TF2,SIXPHRASE(APT),AB4-502
ISTS301P,Advanced Competitive Coding – I,SS,1.5,F1+TF1,ETHNUS (APT),AB4-506
ISTS301P,Advanced Competitive Coding – I,SS,1.5,F1+TF1,FACE (APT),AB4-512
ISTS301P,Advanced Competitive Coding – I,SS,1.5,F1+TF1,ETHNUS (APT),AB4-513
ISTS301P,Advanced Competitive Coding – I,SS,1.5,F2+TF2,FACE (APT),AB4-506
ISTS301P,Advanced Competitive Coding – I,SS,1.5,F2+TF2,ETHNUS (APT),AB4-513
STS4021,Preparedness for External Opportunities,SS,1,E1+TE1,ETHNUS (APT),MAB3-103
STS4021,Preparedness for External Opportunities,SS,1,E2+TE2,ETHNUS (APT),MAB3-103
STS4021,Preparedness for External Opportunities,SS,1,E1+TE1,FACE (APT),MAB3-102
USTS301P,Advanced Competitive Coding-I,SS,1.5,F1+TF1,FACE (APT),AB3-706
BACHY102,Organic Chemistry for Biotechnologists,ETH,3,E1+TE1,SATHIYANARAYANAN K,AB2-208
BACHY102,Organic Chemistry for Biotechnologists,ELA,1,L5+L6,SATHIYANARAYANAN K,AB1-102L
BACHY102,Organic Chemistry for Biotechnologists,ELA,1,L5+L6,SUBHAYAN DEY,AB1-102L
BACHY103,Chemistry for Civil Engineers,ETH,3,E1+TE1,SANTOSH G,AB1-701
BACHY103,Chemistry for Civil Engineers,ELA,1,L11+L12,SANTOSH G,AB1-102L
BACHY105,Applied Chemistry,ETH,3,F1+TF1,TANUSHREE CHOUDHRY,AB4-319
BACHY105,Applied Chemistry,ELA,1,L43+L44,TANUSHREE CHOUDHRY,AB1-102
BACHY105,Applied Chemistry,ETH,3,F2+TF2,TANUSHREE CHOUDHRY,AB4-319
BACHY105,Applied Chemistry,ELA,1,L29+L30,TANUSHREE CHOUDHRY,AB1-102
BACHY105,Applied Chemistry,ETH,3,F1+TF1,KRISHNENDU BISWAS,AB4-320
BACHY105,Applied Chemistry,ELA,1,L49+L50,KRISHNENDU BISWAS,AB1-102
BACHY105,Applied Chemistry,ETH,3,F2+TF2,KRISHNENDU BISWAS,AB4-320
BACHY105,Applied Chemistry,ELA,1,L23+L24,KRISHNENDU BISWAS,AB1-102L
BACHY105,Applied Chemistry,ETH,3,F1+TF1,MILIND SHRINIVAS DANGATE,AB4-401
BACHY105,Applied Chemistry,ELA,1,L49+L50,MILIND SHRINIVAS DANGATE,AB1-102L
BACHY105,Applied Chemistry,ETH,3,F2+TF2,MILIND SHRINIVAS DANGATE,AB4-401
BACHY105,Applied Chemistry,ELA,1,L13+L14,MILIND SHRINIVAS DANGATE,AB1-102
BACHY105,Applied Chemistry,ETH,3,F1+TF1,SHYAMAPADA NANDI,AB4-402
BACHY105,Applied Chemistry,ELA,1,L51+L52,SHYAMAPADA NANDI,AB1-102
BACHY105,Applied Chemistry,ETH,3,F2+TF2,SHYAMAPADA NANDI,AB4-402
BACHY105,Applied Chemistry,ELA,1,L3+L4,SHYAMAPADA NANDI,AB1-102
BACHY105,Applied Chemistry,ETH,3,F1+TF1,KIRAN KUMAR TADI,AB4-403
BACHY105,Applied Chemistry,ELA,1,L33+L34,KIRAN KUMAR TADI,AB1-102
BACHY105,Applied Chemistry,ETH,3,F2+TF2,KIRAN KUMAR TADI,AB4-403
BACHY105,Applied Chemistry,ELA,1,L7+L8,KIRAN KUMAR TADI,AB1-102
BACHY105,Applied Chemistry,ETH,3,F1+TF1,SAHELI KARMAKAR,AB4-404
BACHY105,Applied Chemistry,ELA,1,L51+L52,SAHELI KARMAKAR,AB1-102L
BACHY105,Applied Chemistry,ETH,3,F2+TF2,SAHELI KARMAKAR,AB4-404
BACHY105,Applied Chemistry,ELA,1,L3+L4,SAHELI KARMAKAR,AB1-102L
BACHY105,Applied Chemistry,ETH,3,F1+TF1,KARTHIKA PICHAIMUTHU,AB4-405
BACHY105,Applied Chemistry,ELA,1,L53+L54,KARTHIKA PICHAIMUTHU,AB1-102
BACHY105,Applied Chemistry,ETH,3,F2+TF2,KARTHIKA PICHAIMUTHU,AB4-405
BACHY105,Applied Chemistry,ELA,1,L21+L22,KARTHIKA PICHAIMUTHU,AB1-102
BACHY105,Applied Chemistry,ETH,3,F1+TF1,SANTOSH G,AB4-317
BACHY105,Applied Chemistry,ELA,1,L45+L46,SANTOSH G,AB1-102
BACHY105,Applied Chemistry,ETH,3,F1+TF1,ILAIYARAJA PERUMAL,AB4-318
BACHY105,Applied Chemistry,ELA,1,L5+L6,ILAIYARAJA PERUMAL,AB1-102
BACHY105,Applied Chemistry,ETH,3,F1+TF1,SUJOY SARKAR,AB4-406
BACHY105,Applied Chemistry,ELA,1,L33+L34,SUJOY SARKAR,AB1-102L
BACHY105,Applied Chemistry,ETH,3,F2+TF2,BUTHANAPALLI RAMAKRISHNA,AB4-406
BACHY105,Applied Chemistry,ELA,1,L13+L14,BUTHANAPALLI RAMAKRISHNA,AB1-102L
BACHY105,Applied Chemistry,ETH,3,F1+TF1,GANESAN,AB4-412
BACHY105,Applied Chemistry,ELA,1,L41+L42,GANESAN,AB1-102
BACHY105,Applied Chemistry,ETH,3,F1+TF1,VINU MOHAN A M,AB4-413
BACHY105,Applied Chemistry,ELA,1,L39+L40,VINU MOHAN A M,AB1-102
BACHY105,Applied Chemistry,ETH,3,F1+TF1,JAYANTA PARUI,AB4-417
BACHY105,Applied Chemistry,ELA,1,L37+L38,JAYANTA PARUI,AB1-102L
BACHY105,Applied Chemistry,ETH,3,F2+TF2,RAJESHKUMAR T,AB4-417
BACHY105,Applied Chemistry,ELA,1,L9+L10,RAJESHKUMAR T,AB1-102L
BACHY105,Applied Chemistry,ETH,3,F1+TF1,PERUMAL D,AB4-416
BACHY105,Applied Chemistry,ELA,1,L47+L48,PERUMAL D,AB1-102
BACHY105,Applied Chemistry,ETH,3,F2+TF2,PERUMAL D,AB4-416
BACHY105,Applied Chemistry,ELA,1,L25+L26,PERUMAL D,AB1-102
BACHY105,Applied Chemistry,ETH,3,F1+TF1,SIVASUBRAMANIAN R,AB4-414
BACHY105,Applied Chemistry,ELA,1,L35+L36,SIVASUBRAMANIAN R,AB1-102
BACHY105,Applied Chemistry,ETH,3,F2+TF2,SIVASUBRAMANIAN R,AB4-414
BACHY105,Applied Chemistry,ELA,1,L25+L26,SIVASUBRAMANIAN R,AB1-102L
BACHY106,Chemistry for Electrical and Electronics Engineering,ETH,3,E2+TE2,SUBHAYAN DEY,AB2-204
BACHY106,Chemistry for Electrical and Electronics Engineering,ELA,1,L1+L2,SUBHAYAN DEY,AB1-102
BACHY106,Chemistry for Electrical and Electronics Engineering,ETH,3,E1+TE1,SARAVANAKUMAR R,AB2-205
BACHY106,Chemistry for Electrical and Electronics Engineering,ELA,1,L37+L38,SARAVANAKUMAR R,AB1-102
BACHY106,Chemistry for Electrical and Electronics Engineering,ETH,3,E2+TE2,SARAVANAKUMAR R,AB2-205
BACHY106,Chemistry for Electrical and Electronics Engineering,ELA,1,L29+L30,SARAVANAKUMAR R,AB1-102L
BACHY106,Chemistry for Electrical and Electronics Engineering,ETH,3,E1+TE1,LAKKOJI SATISH,AB2-206
BACHY106,Chemistry for Electrical and Electronics Engineering,ELA,1,L31+L32,LAKKOJI SATISH,AB1-102
BACHY106,Chemistry for Electrical and Electronics Engineering,ETH,3,E2+TE2,LAKKOJI SATISH,AB2-206
BACHY106,Chemistry for Electrical and Electronics Engineering,ELA,1,L27+L28,LAKKOJI SATISH,AB1-102
BACHY106,Chemistry for Electrical and Electronics Engineering,ETH,3,E1+TE1,RAMACHANDRAN,AB2-204
BACHY106,Chemistry for Electrical and Electronics Engineering,ELA,1,L1+L2,RAMACHANDRAN,AB1-102L
BACHY108,Chemistry for Textile Technology,ETH,3,E2+TE2,MAHALAKSHMI S,ADB-604
BACHY108,Chemistry for Textile Technology,ELA,1,L23+L24,MAHALAKSHMI S,AB1-102
BAMAT205,Discrete Mathematics and Linear Algebra,TH,4,D1+TD1+TDD1,RAJESH KUMAR MOHAPATRA,AB3-208
BAMAT205,Discrete Mathematics and Linear Algebra,TH,4,D1+TD1+TDD1,RADHA S,AB3-304
BAMAT205,Discrete Mathematics and Linear Algebra,TH,4,D2+TD2+TDD2,ASHISH KUMAR,AB3-208
BAMAT205,Discrete Mathematics and Linear Algebra,TH,4,D1+TD1+TDD1,PADMAJA N,AB3-305
BAMAT205,Discrete Mathematics and Linear Algebra,TH,4,D1+TD1+TDD1,ASHIS BERA,AB3-306
BAMAT205,Discrete Mathematics and Linear Algebra,TH,4,D2+TD2+TDD2,AVINASH KUMAR MITTAL,AB3-313
BAMAT205,Discrete Mathematics and Linear Algebra,TH,4,D1+TD1+TDD1,BASUA DEBANANDA,AB3-307
BAMAT205,Discrete Mathematics and Linear Algebra,TH,4,D2+TD2+TDD2,SANKARSAN TARAI,AB3-211
BAMAT205,Discrete Mathematics and Linear Algebra,TH,4,D2+TD2+TDD2,RADHA S,AB3-304
BAMAT205,Discrete Mathematics and Linear Algebra,TH,4,D1+TD1+TDD1,MUTHUNAGAI,AB3-309
BAMAT205,Discrete Mathematics and Linear Algebra,TH,4,D2+TD2+TDD2,PULAK KONAR,AB3-309
BAMAT205,Discrete Mathematics and Linear Algebra,TH,4,D1+TD1+TDD1,AVINASH KUMAR MITTAL,AB3-313
BAMAT205,Discrete Mathematics and Linear Algebra,TH,4,D1+TD1+TDD1,SRIRAMAN R,AB3-404
BAMAT205,Discrete Mathematics and Linear Algebra,TH,4,D2+TD2+TDD2,NATHIYA N,AB3-209
BAMAT205,Discrete Mathematics and Linear Algebra,TH,4,D2+TD2+TDD2,RAJIVGANTHI,AB3-303
BAMAT205,Discrete Mathematics and Linear Algebra,TH,4,D2+TD2+TDD2,SUKAVANAM N,AB3-305
BAMAT205,Discrete Mathematics and Linear Algebra,TH,4,D2+TD2+TDD2,DAVID MAXIM GURURAJ A,AB3-306
BAMAT205,Discrete Mathematics and Linear Algebra,TH,4,D2+TD2+TDD2,UMA MAHESWARI S,AB3-307
BAMAT205,Discrete Mathematics and Linear Algebra,TH,4,D2+TD2+TDD2,DHANASEKAR S,AB3-308
BAMAT205,Discrete Mathematics and Linear Algebra,TH,4,D1+TD1+TDD1,RUPCHAND SUTRADHAR,AB3-209
BAMAT205,Discrete Mathematics and Linear Algebra,TH,4,D1+TD1+TDD1,MEGALA M,AB3-211
BAMAT205,Discrete Mathematics and Linear Algebra,TH,4,D1+TD1+TDD1,SHARATH JOSE,AB3-303
BAMAT205,Discrete Mathematics and Linear Algebra,TH,4,D1+TD1+TDD1,DHANASEKAR S,AB3-403
BAMAT205,Discrete Mathematics and Linear Algebra,TH,4,D1+TD1+TDD1,SARANYA G,AB3-308
BAMAT209,Mathematical Foundations for Computation,TH,4,D1+TD1+TDD1,SOMNATH BERA,AB1-608
BAMAT209,Mathematical Foundations for Computation,TH,4,D1+TD1+TDD1,DHIVYA P,AB1-609
BAMAT209,Mathematical Foundations for Computation,TH,4,D1+TD1+TDD1,NATHIYA N,AB1-610
BAMAT209,Mathematical Foundations for Computation,TH,4,D2+TD2+TDD2,DEVI YAMINI S,AB1-608
BAMAT209,Mathematical Foundations for Computation,TH,4,D2+TD2+TDD2,ABHISHEK KUMAR SINGH,AB1-609
BCHY102N,Environmental Sciences,OC,2,NIL,SUNIT KUMAR,NIL
BMAT202L,Probability and Statistics,TH,3,F2+TF2,BALAJI,AB3-508
BMAT202L,Probability and Statistics,TH,3,F2+TF2,PAVITHRA R,AB3-509
BMAT202L,Probability and Statistics,TH,3,F2+TF2,JAYAGOPAL R,AB3-513
BMAT202L,Probability and Statistics,TH,3,F2+TF2,KARTHIK S,AB3-603
